country,skilledAttendant
Afghanistan,39
Albania,99
Algeria,97
Andorra,_
Angola,47
Antigua and Barbuda,100
Argentina,98
Armenia,100
Australia,_
Austria,_
Azerbaijan,99
Bahamas,99
Bahrain,100
Bangladesh,34
Barbados,100
Belarus,100
Belgium,_
Belize,96
Benin,81
Bhutan,65
Bolivia (Plurinational State of),84
Bosnia and Herzegovina,100
Botswana,95
Brazil,98
Brunei Darussalam,100
Bulgaria,100
Burkina Faso,66
Burundi,60
Cabo Verde,78
Cambodia,72
Cameroon,64
Canada,100
Central African Republic ,54
Chad,23
Chile,100
China,100
Colombia,99
Comoros,82
Congo,93
Cook Islands,100
Costa Rica,98
Cªte d'Ivoire,59
Croatia,100
Cuba,100
Cyprus,_
Czech Republic,100
Democratic People's Republic of Korea,100
Democratic Republic of the Congo,80
Denmark,_
Djibouti,87
Dominica,100
Dominican Republic,99
Ecuador,91
Egypt,79
El Salvador,100
Equatorial Guinea,68
Eritrea,34
Estonia,100
Ethiopia,10
Fiji,100
Finland,_
France,_
Gabon,89
Gambia,57
Georgia,100
Germany,_
Ghana,68
Greece,_
Grenada,99
Guatemala,52
Guinea,45
Guinea-Bissau,43
Guyana,92
Haiti,37
Holy See,_
Honduras,83
Hungary,99
Iceland,_
India,52
Indonesia,83
Iran (Islamic Republic of),96
Iraq,91
Ireland,100
Israel,_
Italy,_
Jamaica,99
Japan,_
Jordan,100
Kazakhstan,100
Kenya,44
Kiribati,80
Kuwait,100
Kyrgyzstan,99
Lao People's Democratic Republic,42
Latvia,100
Lebanon,98
Lesotho,62
Liberia,46
Libya,100
Liechtenstein,_
Lithuania,100
Luxembourg,100
Madagascar,44
Malawi,71
Malaysia,99
Maldives,99
Mali,56
Malta,_
Marshall Islands,99
Mauritania,65
Mauritius,98
Mexico,96
Micronesia (Federated States of),100
Monaco,_
Mongolia,99
Montenegro,100
Morocco,74
Mozambique,54
Myanmar,71
Namibia,81
Nauru,97
Nepal,36
Netherlands,_
New Zealand,_
Nicaragua,88
Niger,29
Nigeria,38
Niue,100
Norway,_
Oman,99
Pakistan,52
Palau,100
Panama,94
Papua New Guinea,53
Paraguay,96
Peru,87
Philippines,72
Poland,100
Portugal,100
Qatar,100
Republic of Korea,_
Republic of Moldova,99
Romania,99
Russian Federation,100
Rwanda,69
Saint Kitts and Nevis,100
Saint Lucia,99
Saint Vincent and the Grenadines,99
Samoa,81
San Marino,_
Sao Tome and Principe,82
Saudi Arabia,97
Senegal,65
Serbia,100
Seychelles,_
Sierra Leone,60
Singapore,_
Slovakia,99
Slovenia,100
Solomon Islands,86
Somalia,33
South Africa,91
South Sudan,19
Spain,_
Sri Lanka,99
State of Palestine,99
Sudan,23
Suriname,91
Swaziland,82
Sweden,_
Switzerland,_
Syrian Arab Republic,96
Tajikistan,87
Thailand,100
The former Yugoslav Republic of Macedonia,98
Timor-Leste,29
Togo,59
Tonga,98
Trinidad and Tobago,100
Tunisia,99
Turkey,91
Turkmenistan,97
Tuvalu,98
Uganda,57
Ukraine,99
United Arab Emirates,100
United Kingdom,_
United Republic of Tanzania,49
United States,_
Uruguay,100
Uzbekistan,100
Vanuatu,89
Venezuela (Bolivarian Republic of),96
Viet Nam,93
Yemen,36
Zambia,47
Zimbabwe,66
World,68
